xiaohu,Li Yuan-Hao (___), Royal Never Give Up, China,Mid
xiaoxi,Li Wei-Sheng (___), LGD Gaming, China,Jungler
xiyang,Hu Bin (__), Oh My God, China,Top
Xiye,Su Han-Wei (___), Team WE, China,Mid
Xuan,Pi Xiao-Xuan (___), Unlimited Potential, China,AD
xy,Feng Yu-Xin (___), Masters 3, China,Top
Y4,Wang Nong-Mo (___), ZTR Gaming, China,AD
Yao,Yao Yuan (__), Roar, China,Top
Yeluo,Chen Li-Bin (___), LGD Gaming, China,Mid
Yh,Ying Hai (__), Vici Gaming, China,Support
YuZhe,Zhang Zhe (__), Newbee Young, China,Support
Yu,Li Xin-Nan (___), LGD Gaming, China,Jungler
ZZR,Zeng Zhan-Ran (___), Snake eSports, China,Jungler
ZangAo,Feng Guang-Hua (___), Energy Pacemaker.All, China,Sub
Zun,Fan Chen-Gang (___), Vici Gaming, China,Mid
Zzitai,Liu Zhihao (___), Invictus Gaming, China,Mid
Rushley,Bryan Giraldo, Red Arrows Team, Colombia,Top
TetricAttack,Daniel Chavarría, Red Arrows Team, Colombia,Mid
Zeypher,Esteban Guzmán, Tesla E-Sports, Colombia,AD
Choisix,Steven Cordero, BrawL.LAN, Costa Rica,Support
DevilFenix,Mauricio Madrigal, BrawL.LAN, Costa Rica,Jungler
MegaK,Esteban Matamoros, Creta Gaming, Costa Rica,AD
Torrasque,Tomas Madrigal, BrawL.LAN, Costa Rica,Mid
Lukezy,Luka Trumbi_, Choke Gaming, Croatia,Mid
PerkZ,Luka Perkovi_, G2 Esports, Croatia,Mid
Rapid,Jeff McColony, BrawL.LAN, Curaçao,Mid
Freeze,Ale_ Kn__ínek, Renegades, Czech Republic,AD
Mozilla,Pavel Klaban, Fraternitas, Czech Republic,Support
Nardeus,Tomá_ Mar_álek, mousesports, Czech Republic,AD
Achuu,Nicolaj Ellesgaard, SuperMassive eSports, Denmark,AD
Bjergsen,Søren Bjerg, Team SoloMid, Denmark,Mid
Critbud,Victor Etlar Eriksen, Tricked eSports, Denmark,AD
Doxy,Rafael Adl Zarabi, Vega Squadron, Denmark,Top
Froggen,Henrik Hansen, Echo Fox, Denmark,Mid
Godbro,Dan Van Vo, Huma, Denmark,Mid
Jensen,Nicolaj Jensen, Cloud9, Denmark,Mid
Jesse,Jesse Le, Team Dignitas, Denmark,Analyst
Kobbe,Kasper Kobberup, Splyce, Denmark,AD
MikeyR,Mike Røntved, Tricked eSports, Denmark,Manager
